 2024/8/30 0:0:0, 29.30, 76.0
 2024/8/30 0:10:0, 27.40, 80.0
 2024/8/30 0:20:0, 27.0, 81.0
 2024/8/30 0:30:0, 26.90, 82.0
 2024/8/30 0:40:0, 26.90, 83.0
 2024/8/30 0:50:0, 26.90, 83.0
 2024/8/30 1:0:0, 26.90, 84.0
 2024/8/30 1:10:0, 26.80, 84.0
 2024/8/30 1:20:0, 26.90, 84.0
 2024/8/30 1:30:0, 26.90, 84.0
 2024/8/30 1:40:0, 26.90, 84.0
 2024/8/30 1:50:0, 26.90, 84.0
 2024/8/30 2:0:0, 26.90, 84.0
 2024/8/30 2:10:0, 26.90, 84.0
 2024/8/30 2:20:0, 26.90, 85.0
 2024/8/30 2:30:0, 27.0, 84.0
 2024/8/30 2:40:0, 27.0, 84.0
 2024/8/30 2:50:0, 26.90, 85.0
 2024/8/30 3:0:0, 26.90, 85.0
 2024/8/30 3:10:0, 26.90, 85.0
 2024/8/30 3:20:0, 27.0, 85.0
 2024/8/30 3:30:0, 27.0, 85.0
 2024/8/30 3:40:0, 27.0, 85.0
 2024/8/30 3:50:0, 27.0, 85.0
 2024/8/30 4:0:0, 27.0, 85.0
 2024/8/30 4:10:0, 27.0, 85.0
 2024/8/30 4:20:0, 27.0, 85.0
 2024/8/30 4:30:0, 27.0, 85.0
 2024/8/30 4:40:0, 26.90, 84.0
 2024/8/30 4:50:0, 26.90, 84.0
 2024/8/30 5:0:0, 27.0, 84.0
 2024/8/30 5:10:0, 27.0, 84.0
 2024/8/30 5:20:0, 27.0, 84.0
 2024/8/30 5:30:0, 27.0, 84.0
 2024/8/30 5:40:0, 27.0, 84.0
 2024/8/30 5:50:0, 27.20, 84.0
 2024/8/30 6:0:0, 27.10, 84.0
 2024/8/30 6:10:0, 27.0, 84.0
 2024/8/30 6:20:0, 27.10, 84.0
 2024/8/30 6:30:0, 27.10, 84.0
 2024/8/30 6:40:0, 27.10, 84.0
 2024/8/30 6:50:0, 27.40, 83.0
 2024/8/30 7:0:0, 27.30, 84.0
 2024/8/30 7:10:0, 27.30, 84.0
 2024/8/30 7:20:0, 27.40, 84.0
 2024/8/30 7:30:0, 27.20, 82.0
 2024/8/30 7:40:0, 27.0, 80.0
